time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:fileDeletionBacklog,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2017-08-28 14:42:54.981 UTC, ,125,3158477,824,12624, , ,3, ,3, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1077,1,469,469,1, ,2,4, ,49,49, , , , , ,1,10, , , , , , , , , , , , , , , , , , , , , , , , ,1503931374711, , , , ,3145728, , , , ,1,3,1,3,3,3, , ,3,4, , , , , , , ,38,1, , ,12288,3,1087,3, , , , ,1,61,4,52,44310144,5, , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-08-28 14:42:55.078 UTC, ,125,3162805,1056,16952, , ,4, ,11, , , , , , , , , ,4,4, , , , ,1,7, ,1, , , , , , , , , , , , , , ,1077,1,469,469, , , , , ,49,49, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1503931374711, , , , ,3145728, , , , ,1,6,1,6,2,6, , ,3,6, , , , , , , , , , , ,4096,2,766,6, , , , , , , , ,48812232,5, , , , , , ,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5, ,5,3,1, , , , , , , 
2017-08-28 14:43:05.148 UTC, ,125,3159069,1056,13216, , ,3, ,22,3,0.14, , , , , , , ,3,3, ,2, ,2,1,5, ,20,8, , , , , , , , , , , , , ,3189,2, ,2009, , , , , ,36,36, , , , , ,1,41, , , , , , , , , , , , , , , , , , , , , , , , ,1503931385109, , , , ,3145728, , , ,16,0, , , ,2, , , ,3, , , , ,16, ,2048,1, , , , ,100818,27, , , , , , ,1,61,4,52,61555440,5, , , , , , ,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-08-28 14:43:10.956 UTC, ,589,3201917,2216,55600, , ,11, ,514,1,0.00, , , , , , , ,11,9, , , ,2,5,12, ,12,2, , , , , , , , , , , , , ,3189,2, ,2009, , , , , ,36,36, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1503931385109, , , , ,3145728, , , ,4,1,26,11,26,3,26, , ,3,26, , , ,4,1, , , , , , ,10407,7,23829,26, , , , ,1,51,2,31,50042064,5, , , , , , ,686, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,369, ,184,114,34, , , , , , , 
2017-08-28 14:44:59.995 UTC, ,125,3165949,2216,20096, , ,3, ,58,3,0.05, , , , , , , ,3,3, ,2, ,2,1,4, ,53,14, , , , , , , , , , , , , ,37484,3, ,27181, , , , , ,23,23, , , , , ,5,466, , , , , , , , , , , , , , , , , , , , , , , , ,1503931498647, , , , ,3145728, , , ,22,0, , , ,2, , , ,3, , , , ,22, ,2048,1, , , , ,232302,49, , , , , , , , , , ,59448816,5, , , , , , ,45, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-08-28 14:45:00.361 UTC, ,125,3169501,2216,23648, , ,4,1,8,1,0.13, , , , , , , ,4,4, , ,1,2,1,6, ,4,2, , , , , , , , , , , , , ,37484,3, ,27181, , , , , ,23,23, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1503931498647, , , , ,3145728, , , ,5,0, , , ,1, , , ,3, , , , ,5,1, , , , , , ,8359,6, , , , , , , , , , ,64817928,5, , , , , , ,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,5, , , , , , , , 
2017-08-28 14:45:10.725 UTC, ,125,3165949,2216,20096, , ,3, ,58,3,0.05, , , , , , , ,3,3, ,2, ,2,1,4, ,53,14, , , , , , , , , , , , , ,37484,3, ,27181, , , , , ,23,23, , , , , ,5,466, , , , , , , , , , , , , , , , , , , , , , , , ,1503931510469, , , , ,3145728, , , ,22,0, , , ,2, , , ,3, , , , ,22, ,2048,1, , , , ,232302,49, , , , , , , , ,1,13,23982056,5, , , , , , ,45, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-08-28 14:45:53.072 UTC, ,125,3198565,2216,52712, , ,10,1,62,7,0.11, , , , , , , ,10,8, , ,1,2,5,10, ,29,18, , , , , , , , , , , , , ,37484,3, ,27181, , , , , ,23,23, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1503931510469, , , , ,3145728, , , ,31,4,4,5,4,3,4, , ,3,6, , , ,31,1, , , , , ,2,39122,36,582,4, , , , ,1,23,1,10,28238312,6, , , , , , ,431, , , ,1, , , , , , , , , , , , , , , , , , , , , , , , ,1, ,3, ,373,36,3, , , , , , , 
2017-08-28 15:31:25.695 UTC, ,125,3165973,2216,20120, , ,3, ,46,3,0.07, , , , , , , ,3,3, ,2, ,2,1,4, ,46,15, , , , , , , , , , , , , ,40024,4, ,38230, , , , , ,20,20, , , , , ,5,484, , , , , , , , , , , , , , , , , , , , , , , , ,1503934284499, , , , ,3145728, , , ,23,0, , , ,2, , , ,3, , , , ,23, ,2048,1, , , , ,166834,42, , , , , , , , , , ,58080448,5, , , , , , ,36, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-08-28 15:31:26.010 UTC, ,125,3169405,2216,23552, , ,4, ,8,1,0.13, , , , , , , ,4,4, , , ,2,1,6, ,4,2, , , , , , , , , , , , , ,40024,4, ,38230, , , , , ,20,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1503934284499, , , , ,3145728, , , ,4,0, , , ,1, , , ,3, , , , ,4,1, , , , , , ,6311,5, , , , , , , , , , ,64793160,5, , , , , , ,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,5, , , , , , , , 
